,Ranks,Title,Authors,Book_cover,Price,Reviews,Ratings,Year
0,1,The Lost Symbol (Robert Langdon),Dan Brown,Hardcover,10.00,"29,014",4.3,2009
1,2,The Shack: Where Tragedy Confronts Eternity,William P. Young,Paperback,10.14,"41,127",4.6,2009
2,3,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,Hardcover,14.88,"5,342",4.8,2009
3,4,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,Hardcover,19.55,"25,420",4.7,2009
4,5,Going Rogue: An American Life,Sarah Palin,Hardcover,6.30,"1,598",4.6,2009
5,6,StrengthsFinder 2.0,,Hardcover,20.96,Gallup,4.1,2009
6,7,The Help,Kathryn Stockett,Hardcover,15.97,"33,000",4.7,2009
7,8,New Moon (The Twilight Saga),Stephenie Meyer,Paperback,17.00,"21,004",4.6,2009
8,9,The Twilight Saga Collection,Stephenie Meyer,Hardcover,58.00,"7,055",4.7,2009
9,10,Outliers: The Story of Success,Malcolm Gladwell,Hardcover,15.69,"35,958",4.6,2009
10,11,Eclipse (Twilight),Stephenie Meyer,Hardcover,19.20,"20,406",4.7,2009
11,12,"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,Paperback,17.00,"35,171",4.7,2009
12,13,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,Paperback,9.68,"1,429",4.5,2009
13,14,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,Paperback,12.20,"4,228",4.3,2009
14,15,The Love Dare,Stephen Kendrick,Paperback,12.84,"3,510",4.8,2009
15,16,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,Hardcover,21.49,"8,487",4.5,2009
16,17,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,Hardcover,11.32,"14,973",4.6,2009
17,18,Under the Dome: A Novel,Stephen King,Hardcover,26.36,"13,349",4.4,2009
18,19,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,Paperback,10.32,"37,104",4.6,2009
19,20,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,Paperback,10.68,959,4.5,2009
20,21,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,Hardcover,9.62,913,4.6,2009
21,22,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",Julia Child,Hardcover,25.99,"8,220",4.8,2009
22,23,Sookie Stackhouse,Charlaine Harris,Mass Market Paperback,59.99,"1,002",4.7,2009
23,24,The Time Traveler's Wife,Audrey Niffenegger,Paperback,11.94,"10,785",4.4,2009
24,25,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,Paperback,12.49,"12,968",4.5,2009
25,26,True Compass: A Memoir,Edward M. Kennedy,Hardcover,13.47,584,4.5,2009
26,27,The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),Stieg Larsson,Paperback,10.07,"31,485",4.5,2009
27,28,The 5000 Year Leap,W. Cleon Skousen,Paperback,10.99,"2,654",4.8,2009
28,29,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,Hardcover,18.29,"8,442",4.5,2009
29,30,Eclipse (Twilight Sagas),Stephenie Meyer,Paperback,15.52,"20,406",4.7,2009
30,31,Where the Wild Things Are: A Caldecott Award Winner,Maurice Sendak,Hardcover,12.90,"34,163",4.9,2009
31,32,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",,Hardcover,19.34,Patrick Lencioni,4.6,2009
32,33,Olive Kitteridge,Elizabeth Strout,Paperback,8.89,"28,601",4.2,2009
33,34,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,Hardcover,10.81,"4,399",4.6,2009
34,35,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,Paperback,17.40,"1,176",4.3,2009
35,36,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,Hardcover,15.74,"4,310",4.5,2009
36,37,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,Paperback,14.99,"8,357",4.4,2009
37,38,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,Paperback,15.16,"2,262",4.7,2009
38,39,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,Hardcover,10.32,"29,555",4.8,2009
39,40,The Elegance of the Hedgehog,Muriel Barbery,Paperback,8.99,"6,607",4.2,2009
40,41,"I, Alex Cross",James Patterson,Hardcover,9.64,"7,529",4.5,2009
41,42,The Girl Who Played with Fire (Millennium),Stieg Larsson,Hardcover,9.87,"25,386",4.6,2009
42,43,The Last Lecture,Randy Pausch,Hardcover,19.46,"11,052",4.6,2009
43,44,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,Paperback,9.90,879,4.6,2009
44,45,Watchmen,Alan Moore,Paperback,29.98,"9,505",4.8,2009
45,46,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,,Paperback,23.49,Stephen R. Covey,4.6,2009
46,47,The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,Hardcover,29.89,"1,945",4.7,2009
47,48,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All Universes",Zhi Gang Sha,Hardcover,21.96,64,4.6,2009
48,51,Diary of a Wimpy Kid Do-it-yourself Book,Jeff Kinney,Hardcover,14.72,"10,193",4.8,2009
49,52,Open: An Autobiography,Andre Agassi,Hardcover,19.40,"20,087",4.6,2009
50,53,Pride and Prejudice and Zombies,,Paperback,13.49,Jane Austen,4.2,2009
51,54,Cook Yourself Thin: Skinny Meals You Can Make in Minutes,"Lifetime Television,",Paperback,14.28,916,4.3,2009
52,55,Hungry Girl: 200 Under 200: 200 Recipes Under 200 Calories,Lisa Lillien,Paperback,14.47,907,4.4,2009
53,56,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,Hardcover,19.79,"23,860",4.7,2009
54,57,A Bold Fresh Piece of Humanity,Bill O'Reilly,Hardcover,8.14,860,4.6,2009
55,58,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,Hardcover,14.39,"5,748",4.8,2009
56,59,The Book Thief,Markus Zusak,Paperback,7.83,"67,255",4.6,2009
57,60,South of Broad,Pat Conroy,Hardcover,15.18,"4,074",4.5,2009
58,61,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,Paperback,10.59,"5,203",4.6,2009
59,62,The Host,Stephenie Meyer,Hardcover,17.15,"13,319",4.6,2009
60,63,Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!,Jillian Michaels,Hardcover,9.98,"1,037",4.3,2009
61,64,Ford County: Stories,John Grisham,Hardcover,13.57,"8,059",4.4,2009
62,65,"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies",Michelle Malkin,Hardcover,8.87,"1,120",4.6,2009
63,66,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,Paperback,12.73,"12,910",4.5,2009
64,67,"Diary of a Wimpy Kid, Book 1",Jeff Kinney,Hardcover,12.29,"27,215",4.6,2009
65,68,The Graveyard Book,Neil Gaiman,Hardcover,10.05,"14,201",4.7,2009
66,69,An Echo in the Bone (Outlander),Diana Gabaldon,Hardcover,25.99,"34,303",4.7,2009
67,70,"The Gathering Storm (Wheel of Time, Book 12)",Robert Jordan,Hardcover,20.99,"12,898",4.8,2009
68,71,Dreams from My Father: A Story of Race and Inheritance,Barack Obama,Paperback,10.70,"10,531",4.7,2009
69,72,Pirate Latitudes: A Novel,Michael Crichton,Hardcover,15.99,"6,632",4.2,2009
70,73,The Official SAT Study Guide: For the New SAT (tm),,Paperback,74.00,The College Board,4.4,2009
71,74,Getting Things Done: The Art of Stress-Free Productivity,David Allen,Paperback,13.17,"5,248",4.5,2009
72,75,How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,Paperback,10.30,"111,867",4.7,2009
73,76,The Official SAT Study Guide,,Paperback,,The College Board,4.4,2009
74,77,Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels),Janet Evanovich,Hardcover,12.83,"7,295",4.5,2009
75,78,Sarah's Key,Tatiana de Rosnay,Paperback,10.25,"11,119",4.5,2009
76,79,From Dead to Worse (Sookie Stackhouse/True Blood),Charlaine Harris,Mass Market Paperback,7.99,"3,328",4.6,2009
77,80,Wolf Hall,Hilary Mantel,Hardcover,22.18,"20,001",4.2,2009
78,81,The Hunger Games,Suzanne Collins,Hardcover,12.79,"80,772",4.7,2009
79,82,The Yankee Years,Joe Torre,Hardcover,14.79,516,4.6,2009
80,83,Push: A Novel,Sapphire,Paperback,,"1,519",4.6,2009
81,84,The End of Overeating: Taking Control of the Insatiable American Appetite,David Kessler,Hardcover,16.11,"1,121",4.3,2009
82,85,The Lacuna: A Novel,Barbara Kingsolver,Hardcover,15.81,"3,777",4.4,2009
83,86,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,Paperback,,792,4.5,2009
84,87,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,Nicholas D. Kristof,Hardcover,8.98,"2,984",4.6,2009
85,88,The Associate,John Grisham,Hardcover,9.64,"7,303",4.4,2009
86,89,Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,Jeff Hertzberg,Hardcover,20.45,"2,264",4.7,2009
87,90,Three Cups of Tea: One Man's Journey to Change the World... One Child at a Time (Young Reader's Edition),,Paperback,7.13,Sarah Thomson,4.4,2009
88,91,Pursuit of Honor,Vince Flynn,Hardcover,11.92,"8,370",4.6,2009
89,92,What the Dog Saw: And Other Adventures,Malcolm Gladwell,Hardcover,18.18,"3,459",4.4,2009
90,93,The Last Song,Nicholas Sparks,Hardcover,13.25,"6,372",4.6,2009
91,94,Atlas Shrugged,Ayn Rand,Paperback,14.77,"19,485",4.5,2009
92,95,The White Tiger: A Novel,Aravind Adiga,Paperback,10.79,"11,007",4.2,2009
93,96,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",,Hardcover,18.00,Gallup,3.5,2009
94,97,"Same Kind of Different As Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together",,Paperback,10.24,Ron Hall,4.6,2009
95,98,U is for Undertow: A Kinsey Millhone Novel,Sue Grafton,Hardcover,12.51,"6,701",4.5,2009
96,99,Catching Fire (The Hunger Games),Suzanne Collins,Hardcover,11.41,"64,876",4.7,2009
97,1,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,Hardcover,11.24,"25,133",4.6,2010
98,2,The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),Stieg Larsson,Paperback,10.07,"31,485",4.5,2010
99,3,Decision Points,George W. Bush,Hardcover,13.99,"2,768",4.6,2010
100,4,The Help,Kathryn Stockett,Hardcover,15.97,"33,000",4.7,2010
101,5,The Girl Who Played with Fire: A Lisbeth Salander Novel (The Girl with the Dragon Tattoo Series),Stieg Larsson,Paperback,13.52,"25,386",4.6,2010
102,6,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,Hardcover,11.61,"19,376",4.7,2010
103,7,StrengthsFinder 2.0,,Hardcover,20.96,Gallup,4.1,2010
104,8,Mockingjay (The Hunger Games),Suzanne Collins,Hardcover,11.44,"79,841",4.6,2010
105,9,Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,Hardcover,12.98,"2,651",4.4,2010
106,10,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,Paperback,12.49,"12,968",4.5,2010
107,11,"Autobiography of Mark Twain, Vol. 1",Mark Twain,Hardcover,18.17,636,4.4,2010
108,12,The Big Short: Inside the Doomsday Machine,Michael Lewis,Hardcover,15.66,"15,981",4.6,2010
109,13,Food Rules: An Eater's Manual,Michael Pollan,Paperback,13.49,"4,539",4.4,2010
110,14,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,Hardcover,15.68,"75,429",4.7,2010
111,15,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,Hardcover,10.74,"5,204",4.5,2010
112,16,Sh*t My Dad Says,Justin Halpern,Hardcover,13.72,"11,624",4.5,2010
113,17,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,Paperback,15.16,"2,262",4.7,2010
114,18,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,Hardcover,14.99,"6,997",4.7,2010
115,19,Life,Keith Richards,Hardcover,,"7,270",4.5,2010
116,20,Cutting for Stone,Abraham Verghese,Paperback,14.10,"14,677",4.6,2010
117,21,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,Hardcover,11.42,594,4.5,2010
118,22,The Official SAT Study Guide,,Paperback,,The College Board,4.4,2010
119,23,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,Hardcover,12.00,"1,934",4.5,2010
120,24,The Immortal Life of Henrietta Lacks,Rebecca Skloot,Hardcover,15.70,"27,813",4.6,2010
121,25,"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,Hardcover,13.23,"24,831",4.7,2010
122,26,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,Paperback,17.50,884,4.5,2010
123,27,Outliers: The Story of Success,Malcolm Gladwell,Hardcover,15.69,"35,958",4.6,2010
124,28,Catching Fire (The Hunger Games),Suzanne Collins,Hardcover,11.41,"64,876",4.7,2010
125,29,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",,Hardcover,19.34,Patrick Lencioni,4.6,2010
126,30,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,Hardcover,18.29,"8,442",4.5,2010
127,31,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,Paperback,12.20,"4,228",4.3,2010
