Title,Authors,Book_cover,Year,Price($),Reviews,Ratings
The Lost Symbol (Robert Langdon),Dan Brown,Hardcover,2009,10.0,29014,4.3
The Shack: Where Tragedy Confronts Eternity,William P. Young,Paperback,2009,10.14,41127,4.6
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,Hardcover,2009,14.88,5342,4.8
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,Hardcover,2009,19.55,25420,4.7
Going Rogue: An American Life,Sarah Palin,Hardcover,2009,6.3,1598,4.6
StrengthsFinder 2.0,Gallup,Hardcover,2009,20.96,8177.0,4.1
The Help,Kathryn Stockett,Hardcover,2009,15.97,33000,4.7
New Moon (The Twilight Saga),Stephenie Meyer,Paperback,2009,17.0,21004,4.6
The Twilight Saga Collection,Stephenie Meyer,Hardcover,2009,58.0,7055,4.7
Outliers: The Story of Success,Malcolm Gladwell,Hardcover,2009,15.69,35958,4.6
Eclipse (Twilight),Stephenie Meyer,Hardcover,2009,19.2,20406,4.7
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,Paperback,2009,17.0,35171,4.7
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,Paperback,2009,9.68,1429,4.5
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,Paperback,2009,12.2,4228,4.3
The Love Dare,Stephen Kendrick,Paperback,2009,12.84,3510,4.8
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,Hardcover,2009,21.49,8487,4.5
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,Hardcover,2009,11.32,14973,4.6
Under the Dome: A Novel,Stephen King,Hardcover,2009,26.36,13349,4.4
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,Paperback,2009,10.32,37104,4.6
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,Paperback,2009,10.68,959,4.5
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,Hardcover,2009,9.62,913,4.6
"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",Julia Child,Hardcover,2009,25.99,8220,4.8
Sookie Stackhouse,Charlaine Harris,Mass Market Paperback,2009,59.99,1002,4.7
The Time Traveler's Wife,Audrey Niffenegger,Paperback,2009,11.94,10785,4.4
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,Paperback,2009,12.49,12968,4.5
True Compass: A Memoir,Edward M. Kennedy,Hardcover,2009,13.47,584,4.5
The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),Stieg Larsson,Paperback,2009,10.07,31485,4.5
The 5000 Year Leap,W. Cleon Skousen,Paperback,2009,10.99,2654,4.8
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,Hardcover,2009,18.29,8442,4.5
Eclipse (Twilight Sagas),Stephenie Meyer,Paperback,2009,15.52,20406,4.7
Where the Wild Things Are: A Caldecott Award Winner,Maurice Sendak,Hardcover,2009,12.9,34163,4.9
"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,Hardcover,2009,19.34,12414.0,4.6
Olive Kitteridge,Elizabeth Strout,Paperback,2009,8.89,28601,4.2
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,Hardcover,2009,10.81,4399,4.6
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,Paperback,2009,17.4,1176,4.3
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,Hardcover,2009,15.74,4310,4.5
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,Paperback,2009,14.99,8357,4.4
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,Paperback,2009,15.16,2262,4.7
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,Hardcover,2009,10.32,29555,4.8
The Elegance of the Hedgehog,Muriel Barbery,Paperback,2009,8.99,6607,4.2
"I, Alex Cross",James Patterson,Hardcover,2009,9.64,7529,4.5
The Girl Who Played with Fire (Millennium),Stieg Larsson,Hardcover,2009,9.87,25386,4.6
The Last Lecture,Randy Pausch,Hardcover,2009,19.46,11052,4.6
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,Paperback,2009,9.9,879,4.6
Watchmen,Alan Moore,Paperback,2009,29.98,9505,4.8
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,Paperback,2009,23.49,1762.0,4.6
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,Hardcover,2009,29.89,1945,4.7
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All Universes",Zhi Gang Sha,Hardcover,2009,21.96,64,4.6
Diary of a Wimpy Kid Do-it-yourself Book,Jeff Kinney,Hardcover,2009,14.72,10193,4.8
Open: An Autobiography,Andre Agassi,Hardcover,2009,19.4,20087,4.6
Pride and Prejudice and Zombies,Jane Austen,Paperback,2009,13.49,2780.0,4.2
Cook Yourself Thin: Skinny Meals You Can Make in Minutes,"Lifetime Television,",Paperback,2009,14.28,916,4.3
Hungry Girl: 200 Under 200: 200 Recipes Under 200 Calories,Lisa Lillien,Paperback,2009,14.47,907,4.4
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,Hardcover,2009,19.79,23860,4.7
A Bold Fresh Piece of Humanity,Bill O'Reilly,Hardcover,2009,8.14,860,4.6
The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,Hardcover,2009,14.39,5748,4.8
The Book Thief,Markus Zusak,Paperback,2009,7.83,67255,4.6
South of Broad,Pat Conroy,Hardcover,2009,15.18,4074,4.5
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,Paperback,2009,10.59,5203,4.6
The Host,Stephenie Meyer,Hardcover,2009,17.15,13319,4.6
Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!,Jillian Michaels,Hardcover,2009,9.98,1037,4.3
Ford County: Stories,John Grisham,Hardcover,2009,13.57,8059,4.4
"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies",Michelle Malkin,Hardcover,2009,8.87,1120,4.6
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,Paperback,2009,12.73,12910,4.5
"Diary of a Wimpy Kid, Book 1",Jeff Kinney,Hardcover,2009,12.29,27215,4.6
The Graveyard Book,Neil Gaiman,Hardcover,2009,10.05,14201,4.7
An Echo in the Bone (Outlander),Diana Gabaldon,Hardcover,2009,25.99,34303,4.7
"The Gathering Storm (Wheel of Time, Book 12)",Robert Jordan,Hardcover,2009,20.99,12898,4.8
